index,file,Start,Stop,EPI,EPI_NEXT,Class
113,a_38,857204,863593,HPE,HVF,1
114,a_38,875718,878708,HPE,HVT,1
115,a_38,1001988,1023989,HPE,HVT,1
116,a_38,1034994,1045892,HPE,HVF,1
117,a_39,110421,115504,HPE,HVF,1
118,a_39,230115,236316,HPE,HVF,1
119,a_4,830238,868873,HPE,HPR,0
120,a_42,474612,476935,HPE,HAS,1
121,a_42,635529,701011,HPE,HVF,1
122,a_43,555369,584743,HPE,HPR,0
123,a_5,559509,561993,HPE,HPR,0
124,a_5,896319,904052,HPE,HAS,1
125,a_5,1054024,1056176,HPE,HPR,0
126,a_5,1182839,1184374,HPE,HPR,0
127,a_6,252770,259710,HPE,HPR,0
128,a_7,512278,530616,HPE,HVT,1
129,a_7,574150,576925,HPE,HVT,1
130,a_8,341771,444787,HPE,HVF,1
132,a_8,488209,525510,HPE,HVF,1
133,a_8,534072,548187,HPE,HPR,0
134,a_9,827312,872049,HPE,HAS,1
135,l_192,378053,382961,HPE,HPR,0
136,l_193,106943,159495,HPE,HAS,1
137,l_194,1,21067,HPE,HAS,1
138,l_194,46825,60266,HPE,HAS,1
139,l_196,380127,386610,HPE,HAS,1
143,l_199,686757,697512,HPE,HAS,1
144,l_199,709394,721845,HPE,HAS,1
147,l_208,202250,205732,HPE,HPR,0
148,l_211,396154,408848,HPE,HPR,0
149,l_217,518198,596275,HPE,HPR,0
150,l_218,221566,225009,HPE,HPR,0
151,l_311,116604,118873,HPE,HPR,0
152,l_313,469129,473144,HPE,HAS,1
153,l_313,552508,572924,HPE,HVF,1
154,l_313,1113738,1118690,HPE,HVF,1
155,l_318,204327,215790,HPE,HVF,1
156,l_318,231120,235079,HPE,HVF,1
157,l_320,109520,124320,HPE,HAS,1
158,l_320,361075,362756,HPE,HPR,0
159,l_322,682481,689528,HPE,HAS,1
160,l_328,706011,710623,HPE,HPR,0
161,l_332,290736,294468,HPE,HVF,1
162,l_332,429037,431428,HPE,HVT,1
163,l_332,682002,685694,HPE,HVF,1
164,l_333,253464,255923,HPE,HAS,1
165,l_333,651688,653830,HPE,HPR,0
166,l_334,83939,87678,HPE,HAS,1
167,l_334,121999,124380,HPE,HAS,1
171,l_335,606257,622951,HPE,HPR,0
172,l_335,710431,749910,HPE,HVF,1
173,l_335,889149,912812,HPE,HAS,1
174,l_336,446863,467494,HPE,HVF,1
175,l_342,248924,307251,HPE,HVF,1
176,l_342,325033,333682,HPE,HVF,1
177,l_342,376428,379461,HPE,HVF,1
178,l_342,715985,738139,HPE,HVF,1
179,l_343,706424,711037,HPE,HVF,1
180,l_345,318621,321125,HPE,HVF,1
181,l_348,1488,9375,HPE,HAS,1
182,l_349,210685,215553,HPE,HVF,1
183,l_349,242926,247216,HPE,HVF,1
185,l_349,456832,462509,HPE,HPR,0
186,l_44,86582,104271,HPE,HAS,1
187,l_44,111201,118251,HPE,HAS,1
188,l_44,589927,595839,HPE,HVF,1
190,l_45,108427,111802,HPE,HVF,1
191,l_45,189311,192985,HPE,HVT,1
192,l_48,285980,287558,HPE,HPR,0
193,l_50,358568,364276,HPE,HVT,1
194,l_50,386325,391434,HPE,HVF,1
195,l_50,408838,411794,HPE,HVF,1
196,l_54,61717,121780,HPE,HVF,1
198,l_61,764805,772280,HPE,HAS,1
199,l_63,866708,870567,HPE,HVF,1
200,l_64,141233,148734,HPE,HAS,1
201,l_65,589877,605528,HPE,HVF,1
202,l_65,624335,627303,HPE,HVF,1
203,l_66,56634,61476,HPE,HVF,1
204,l_66,128931,145652,HPE,HAS,1
205,l_66,216465,219636,HPE,HVF,1
206,l_66,227718,238942,HPE,HAS,1
207,l_66,300505,302266,HPE,HVF,1
208,l_66,553659,556603,HPE,HPR,0
209,l_66,1123790,1125909,HPE,HPR,0
211,s_101,185323,188789,HPE,HVF,1
212,s_103,468845,471853,HPE,HAS,1
213,s_104,54419,56109,HPE,HVF,1
214,s_105,494840,498908,HPE,HPR,0
215,s_106,102694,108516,HPE,HPR,0
216,s_106,356522,358194,HPE,HPR,0
217,s_234,92008,94145,HPE,HAS,1
219,s_245,364178,373391,HPE,HVF,1
220,s_247,242622,244245,HPE,HPR,0
221,s_253,201063,208222,HPE,HPR,0
222,s_256,198860,209165,HPE,HAS,1
223,s_258,179597,182355,HPE,HAS,1
224,s_259,283618,328000,HPE,HVF,1
225,s_259,363104,383365,HPE,HVF,1
227,s_267,382347,391151,HPE,HPR,0
228,s_267,733507,736332,HPE,HAS,1
229,s_360,174460,177199,HPE,HVF,1
230,s_364,907432,927462,HPE,HAS,1
232,s_365,786590,793210,HPE,HPR,0
233,s_367,423644,428796,HPE,HPR,0
234,s_371,252796,288128,HPE,HPR,0
236,s_375,178383,183296,HPE,HVF,1
237,s_381,506877,537259,HPE,HPR,0
238,s_381,799788,844197,HPE,HPR,0
239,s_382,204460,222026,HPE,HPR,0
240,s_383,200564,205199,HPE,HAS,1
241,s_383,262358,265438,HPE,HAS,1
242,s_386,418190,419747,HPE,HAS,1
243,s_72,57690,59476,HPE,HPR,0
244,s_73,117427,128939,HPE,HPR,0
245,s_75,528574,537515,HPE,HVF,1
246,s_76,3392,10347,HPE,HVF,1
247,s_77,291196,295545,HPE,HAS,1
248,s_78,524511,541466,HPE,HPR,0
249,s_79,62666,64226,HPE,HPR,0
250,s_79,776364,777949,HPE,HVF,1
251,s_79,914673,919521,HPE,HVF,1
253,s_81,410870,421013,HPE,HPR,0
254,s_81,760839,790634,HPE,HVF,1
255,s_81,913331,919312,HPE,HVF,1
256,s_81,988543,994879,HPE,HVF,1
257,s_82,424167,427487,HPE,HVF,1
258,s_82,516655,522906,HPE,HVF,1
260,s_83,52779,71838,HPE,HAS,1
261,s_84,11341,37440,HPE,HVF,1
262,s_84,78311,118866,HPE,HVF,1
263,s_84,135434,151772,HPE,HVF,1
264,s_84,236352,240701,HPE,HPR,0
266,s_90,288363,326427,HPE,HVF,1
267,s_91,171415,175865,HPE,HVF,1
268,s_92,131369,134596,HPE,HPR,0
269,s_95,165574,224416,HPE,HVF,1
