file,EPI,Start,Stop
a_2,HVT,256661,258639
a_2,HAS,258640,259809
a_2,CAS,259810,269811
a_2,CPE,269812,280507
a_2,HPE,280508,282024
a_2,CPE,282025,292085
a_2,HPE,292086,293677
a_2,CPE,293678,297068
a_2,HPE,297069,299461
a_2,CPE,299462,344263
a_2,CVF,344264,367434
a_2,HVF,367435,370876
a_2,CVF,370877,422638
a_2,HVF,422639,428891
a_2,DVF,428892,429735
a_2,HVF,429736,430614
a_2,HPE,430615,433345
a_2,CPE,433346,435740
a_2,HPE,435741,441485
a_2,CPE,441486,457312
a_2,HPE,457313,466699
a_2,HVT,466700,470691
a_2,CVT,470692,486294
a_2,CVF,486295,534001
a_2,HVF,534002,538568
a_2,DVF,538569,539410
a_2,HVF,539411,539950
a_2,HPE,539951,555393
a_2,CPE,555394,635571
a_2,HPE,635572,757866
a_2,CPE,757867,826802
a_2,HPE,826803,829500
a_2,HPR,829501,936774
a_2,CPR,936775,946608
a_2,HPR,946609,958049
a_2,CPR,958050,1003776
a_2,HPR,1003777,1090154
a_2,CPR,1090155,1114461
a_2,HPR,1114462,1121524
a_2,HPE,1121525,1141336
a_2,HVT,1141337,1148379
a_2,HVF,1148380,1190708
a_2,DVF,1190709,1191550
a_2,HVF,1191551,1191956
a_2,HAS,1191957,1195000
a_3,HPE,1,5075
a_3,CPE,5076,8536
a_3,HPE,8537,25226
a_3,CPE,25227,28783
a_3,HPE,28784,51524
a_3,CPE,51525,72528
a_3,HPE,72529,98721
a_3,CPE,98722,99416
a_3,HPE,99417,103716
a_3,HPR,103717,110767
a_3,CPR,110768,143546
a_3,HPR,143547,146341
a_3,CPR,146342,149889
a_3,HPR,149890,152824
a_3,DPR,152825,153665
a_3,HPR,153666,825409
a_3,hpr,825410,937500
a_4,hun,1,134
a_4,cun,135,6161
a_4,hun,6162,7510
a_4,HPE,7511,15639
a_4,CPE,15640,117078
a_4,HPE,117079,123127
a_4,CPE,123128,273464
a_4,HPE,273465,275301
a_4,CPE,275302,322492
a_4,HPE,322493,329689
a_4,CPE,329690,388898
a_4,HPE,388899,390501
a_4,CPE,390502,415254
a_4,HPE,415255,427431
a_4,CPE,427432,463529
a_4,HPE,463530,482233
a_4,CPE,482234,551222
a_4,HPE,551223,687795
a_4,CPE,687796,705504
a_4,HPE,705505,711067
a_4,CPE,711068,734228
a_4,HPE,734229,742399
a_4,CPE,742400,751167
a_4,HPE,751168,753225
a_4,CPE,753226,830237
a_4,HPE,830238,868873
a_4,HPR,868874,930158
a_4,HPE,930159,932709
a_4,CPE,932710,960508
a_4,HPE,960509,966217
a_4,CPE,966218,967047
a_4,HPE,967048,997065
a_4,CPE,997066,1038466
a_4,HPE,1038467,1055295
a_4,DPE,1055296,1056118
a_4,HPE,1056119,1061679
a_4,DPE,1061680,1062518
a_4,HPE,1062519,1068195
a_4,DPE,1068196,1069018
a_4,HPE,1069019,1071071
a_4,CPE,1071072,1089476
a_4,HPE,1089477,1091016
a_4,CPE,1091017,1098284
a_4,HPE,1098285,1100332
a_4,CPE,1100333,1100780
a_4,HPE,1100781,1329157
a_4,hpe,1329158,1477500
a_5,hun,1,61
a_5,HPE,62,3291
a_5,CPE,3292,37613
a_5,HPE,37614,42992
a_5,CPE,42993,43349
a_5,HPE,43350,47391
a_5,CPE,47392,93040
a_5,HPE,93041,96582
a_5,CPE,96583,109113
a_5,HPE,109114,110808
a_5,CPE,110809,113454
a_5,HPE,113455,124676
a_5,CPE,124677,130121
a_5,HPE,130122,132218
a_5,CPE,132219,134516
a_5,HPE,134517,138692
a_5,CPE,138693,139473
a_5,HPE,139474,141518
a_5,CPE,141519,226182
a_5,HPE,226183,233405
a_5,CPE,233406,250121
a_5,HPE,250122,254837
a_5,CPE,254838,269834
a_5,HPE,269835,275447
a_5,CPE,275448,291287
a_5,HPE,291288,297108
a_5,CPE,297109,319116
a_5,HPE,319117,328524
a_5,DPE,328525,329368
a_5,HPE,329369,338971
a_5,DPE,338972,339813
a_5,HPE,339814,343999
a_5,DPE,344000,344818
a_5,HPE,344819,347078
a_5,CPE,347079,409605
a_5,HPE,409606,410734
a_5,HPR,410735,417456
a_5,DPR,417457,418278
a_5,HPR,418279,421000
a_5,DPR,421001,421823
a_5,HPR,421824,543283
a_5,CPR,543284,544678
a_5,HPR,544679,546267
a_5,HPE,546268,551925
a_5,DPE,551926,552768
a_5,HPE,552769,558667
a_5,DPE,558668,559508
a_5,HPE,559509,561993
a_5,HPR,561994,567052
a_5,CPR,567053,688095
a_5,HPR,688096,723888
a_5,DPR,723889,724708
a_5,HPR,724709,727430
a_5,HPE,727431,730970
a_5,DPE,730971,731793
a_5,HPE,731794,737588
a_5,DPE,737589,738428
a_5,HPE,738429,742875
a_5,CPE,742876,790881
a_5,HPE,790882,792423
a_5,CPE,792424,827849
a_5,HPE,827850,830337
a_5,hpe,830338,841794
a_5,cpe,841795,847559
a_5,hpe,847560,850535
a_5,cpe,850536,853278
a_5,CPE,853279,880360
a_5,HPE,880361,895496
a_5,DPE,895497,896318
a_5,HPE,896319,904052
a_5,HAS,904053,906357
a_5,DAS,906358,907198
a_5,HAS,907199,914135
a_5,CAS,914136,919594
a_5,HAS,919595,933966
a_5,HPE,933967,950544
a_5,CPE,950545,960301
a_5,HPE,960302,967525
a_5,CPE,967526,975791
a_5,HPE,975792,979165
a_5,CPE,979166,1037775
a_5,HPE,1037776,1053633
a_5,CPE,1053634,1054023
a_5,HPE,1054024,1056176
a_5,HPR,1056177,1087616
a_5,HPE,1087617,1089810
a_5,CPE,1089811,1100811
a_5,HPE,1100812,1102591
a_5,CPE,1102592,1128064
a_5,HPE,1128065,1131702
a_5,CPE,1131703,1182838
a_5,HPE,1182839,1184374
a_5,HPR,1184375,1191247
a_5,CPR,1191248,1299249
a_5,HPR,1299250,1300889
a_5,CPR,1300890,1304583
a_5,HPR,1304584,1306144
a_5,CPR,1306145,1323805
a_5,HPR,1323806,1329534
a_5,CPR,1329535,1357690
a_5,HPR,1357691,1360467
a_5,CPR,1360468,1362123
a_5,HPR,1362124,1366805
a_5,CPR,1366806,1386268
a_5,HPR,1386269,1389761
a_5,CPR,1389762,1393058
a_5,HPR,1393059,1400945
a_5,CPR,1400946,1411210
a_5,HPR,1411211,1411475
a_5,HPE,1411476,1414654
a_5,CPE,1414655,1457508
a_5,HPE,1457509,1517500
a_6,hun,1,132
a_6,HVF,133,5408
a_6,CVF,5409,23877
a_6,HVF,23878,28473
a_6,CVF,28474,46539
a_6,HVF,46540,76750
a_6,CVF,76751,90761
a_6,HVF,90762,94441
a_6,CVF,94442,94695
a_6,HVF,94696,102390
a_6,DVF,102391,103234
a_6,HVF,103235,103656
a_6,HAS,103657,107475
a_6,CAS,107476,130313
a_6,HAS,130314,135878
a_6,CAS,135879,142529
a_6,HAS,142530,145256
a_6,CAS,145257,167465
a_6,CPE,167466,170213
a_6,HPE,170214,171761
a_6,CPE,171762,187155
a_6,HPE,187156,199854
a_6,CPE,199855,216396
a_6,HPE,216397,217967
a_6,CPE,217968,220292
a_6,HPE,220293,226292
a_6,CPE,226293,239843
a_6,HPE,239844,251098
a_6,CPE,251099,252769
a_6,HPE,252770,259710
a_6,HPR,259711,268480
a_6,CPR,268481,273994
a_6,HPR,273995,281899
a_6,CPR,281900,288456
a_6,HPR,288457,307581
a_6,CPR,307582,326087
a_6,HPR,326088,334447
a_6,CPR,334448,336189
a_6,HPR,336190,337700
a_6,CPR,337701,364281
a_6,HPR,364282,366512
a_6,CPR,366513,372328
a_6,HPR,372329,376012
a_6,CPR,376013,386368
a_6,HPR,386369,389916
a_6,CPR,389917,412528
a_6,HPR,412529,417426
a_6,CPR,417427,426998
a_6,HPR,426999,428724
a_6,CPR,428725,431506
a_6,HPR,431507,433950
a_6,CPR,433951,485176
a_6,HPR,485177,504766
a_6,CPR,504767,537401
a_6,HPR,537402,597500
a_7,hun,1,12956
a_7,HPE,12957,12965
a_7,CPE,12966,14416
a_7,HPE,14417,16498
a_7,CPE,16499,16531
a_7,HPE,16532,25188
a_7,CPE,25189,29229
a_7,HPE,29230,35607
a_7,CPE,35608,35713
a_7,HPE,35714,40268
a_7,CPE,40269,45235
a_7,HPE,45236,94600
a_7,CPE,94601,105853
a_7,HPE,105854,108385
a_7,CPE,108386,113687
a_7,HPE,113688,116663
a_7,CPE,116664,125077
a_7,HPE,125078,127757
a_7,CPE,127758,133333
a_7,HPE,133334,136265
a_7,CPE,136266,147952
a_7,HPE,147953,149491
a_7,CPE,149492,151565
a_7,HPE,151566,153125
a_7,CPE,153126,170660
a_7,HPE,170661,172195
a_7,CPE,172196,196443
a_7,HPE,196444,198157
a_7,CPE,198158,206699
a_7,HPE,206700,236140
a_7,CPE,236141,238150
a_7,HPE,238151,260440
a_7,CPE,260441,262507
a_7,HPE,262508,265469
a_7,CPE,265470,288786
a_7,HPE,288787,294293
a_7,CPE,294294,299427
a_7,HPE,299428,314773
a_7,CPE,314774,325518
a_7,HPE,325519,327844
a_7,CPE,327845,356740
a_7,HPE,356741,361856
a_7,CPE,361857,512277
a_7,HPE,512278,530616
a_7,HVT,530617,541522
a_7,DVT,541523,542345
a_7,HVT,542346,542659
a_7,HPE,542660,543327
a_7,HVT,543328,549584
a_7,DVT,549585,550425
a_7,HVT,550426,550544
a_7,HPE,550545,551651
a_7,HVT,551652,574149
a_7,HPE,574150,576925
a_7,HVT,576926,578957
a_7,HPE,578958,1190000
a_8,hun,1,104
a_8,HVF,105,8715
a_8,CVF,8716,20920
a_8,HVF,20921,29228
a_8,CVF,29229,30727
a_8,HVF,30728,35892
a_8,CVF,35893,36086
a_8,HVF,36087,78049
a_8,DVF,78050,78891
a_8,HVF,78892,84192
a_8,DVF,84193,85031
a_8,HVF,85032,86601
a_8,HPE,86602,100873
a_8,CPE,100874,101640
a_8,HPE,101641,113962
a_8,CPE,113963,126161
a_8,HPE,126162,282868
a_8,CPE,282869,310694
a_8,HPE,310695,328768
a_8,CPE,328769,341770
a_8,HPE,341771,444787
a_8,HVF,444788,467946
a_8,DVF,467947,468786
a_8,HVF,468787,469241
a_8,HPE,469242,471507
a_8,HPR,471508,486686
a_8,HVT,486687,488208
a_8,HPE,488209,525510
a_8,HVF,525511,532947
a_8,DVF,532948,533771
a_8,HVF,533772,534071
a_8,HPE,534072,548187
a_8,HPR,548188,652481
a_8,HVT,652482,666146
a_8,DVT,666147,666986
a_8,HVT,666987,667023
a_8,HPR,667024,840000
a_9,hun,1,82371
a_9,HAS,82372,98541
a_9,CAS,98542,128194
a_9,HAS,128195,133541
a_9,CAS,133542,136397
a_9,HAS,136398,140924
a_9,CAS,140925,165880
a_9,HAS,165881,169639
a_9,CAS,169640,188735
a_9,HAS,188736,197704
a_9,CAS,197705,205820
a_9,HAS,205821,209330
a_9,CAS,209331,214959
a_9,HAS,214960,216508
a_9,CAS,216509,216570
a_9,HAS,216571,218446
a_9,CAS,218447,249844
a_9,HAS,249845,251873
a_9,CAS,251874,255599
a_9,HAS,255600,257626
a_9,CAS,257627,271481
a_9,HAS,271482,273990
a_9,CAS,273991,277987
a_9,HAS,277988,280421
a_9,CAS,280422,287922
a_9,HAS,287923,290522
a_9,CAS,290523,297155
a_9,HAS,297156,299586
a_9,CAS,299587,305640
a_9,HAS,305641,311120
a_9,CAS,311121,314837
a_9,HAS,314838,317290
a_9,CAS,317291,324599
a_9,HAS,324600,327399
a_9,CAS,327400,330050
a_9,HAS,330051,355475
a_9,CAS,355476,363104
a_9,HAS,363105,376473
a_9,CAS,376474,400579
a_9,HAS,400580,402154
a_9,CAS,402155,557582
a_9,HAS,557583,560090
a_9,CAS,560091,587184
a_9,HAS,587185,590519
a_9,CAS,590520,657277
a_9,CVF,657278,657332
a_9,HVF,657333,665078
a_9,DVF,665079,665902
a_9,HVF,665903,670990
a_9,HAS,670991,672481
a_9,DAS,672482,673322
a_9,HAS,673323,677262
a_9,CAS,677263,745511
a_9,HAS,745512,771008
a_9,HPE,771009,784371
a_9,CPE,784372,795828
a_9,HPE,795829,796465
a_9,HAS,796466,827311
a_9,HPE,827312,872049
a_9,HAS,872050,954325
a_9,HPE,954326,962500
a_10,hun,1,167
a_10,HVF,168,34846
a_10,CVF,34847,67640
a_10,HVF,67641,80686
a_10,CVF,80687,87933
a_10,HVF,87934,95279
a_10,CVF,95280,109507
a_10,HVF,109508,113997
a_10,CVF,113998,176791
a_10,HVF,176792,180848
a_10,CVF,180849,202690
a_10,HVF,202691,207927
a_10,CVF,207928,235346
a_10,HVF,235347,247097
a_10,DVF,247098,247919
a_10,HVF,247920,248472
a_10,HAS,248473,251201
a_10,CAS,251202,259846
a_10,CVF,259847,343096
a_10,HVF,343097,349169
a_10,DVF,349170,350009
a_10,HVF,350010,350580
a_10,HAS,350581,355438
a_10,CAS,355439,356514
a_10,HAS,356515,359591
a_10,HPE,359592,363780
a_10,CPE,363781,366346
a_10,HPE,366347,369305
a_10,CPE,369306,377421
a_10,CVF,377422,446034
a_10,HVF,446035,453004
a_10,DVF,453005,453844
a_10,HVF,453845,456191
a_10,DVF,456192,457014
a_10,HVF,457015,476721
a_10,DVF,476722,477564
a_10,HVF,477565,478029
a_10,CVF,478030,478914
a_10,HVF,478915,483087
a_10,DVF,483088,483909
a_10,HVF,483910,484302
a_10,HPE,484303,503734
a_10,HVF,503735,510814
a_10,DVF,510815,511659
a_10,HVF,511660,511756
a_10,HPE,511757,517689
a_10,HPR,517690,1500763
a_10,hpr,1500764,1505000
a_11,hun,1,676
a_11,HVF,677,4163
a_11,CVF,4164,47186
a_11,HVF,47187,95296
a_11,CVF,95297,97543
a_11,HVF,97544,99407
a_11,CVF,99408,111331
a_11,HVF,111332,123981
a_11,DVF,123982,124821
a_11,HVF,124822,125571
a_11,HAS,125572,126899
a_11,DAS,126900,127741
a_11,HAS,127742,128355
a_11,HVF,128356,132447
a_11,DVF,132448,133291
a_11,HVF,133292,133927
a_11,HAS,133928,146359
a_11,CAS,146360,191376
a_11,HAS,191377,191623
a_11,HVF,191624,197442
a_11,CVF,197443,200501
a_11,HVF,200502,209377
a_11,CVF,209378,209722
a_11,HVF,209723,214655
a_11,CVF,214656,218737
a_11,HVF,218738,225599
a_11,CVF,225600,248328
a_11,HVF,248329,252316
a_11,CVF,252317,256352
a_11,HVF,256353,262944
a_11,DVF,262945,263786
a_11,HVF,263787,264392
a_11,HAS,264393,265275
a_11,HVF,265276,268576
a_11,DVF,268577,269396
a_11,HVF,269397,269615
a_11,HAS,269616,270173
a_11,HVF,270174,275233
a_11,DVF,275234,276056
a_11,HVF,276057,278203
a_11,CVF,278204,311939
a_11,HVF,311940,319841
a_11,DVF,319842,320681
a_11,HVF,320682,324974
a_11,DVF,324975,325816
a_11,HVF,325817,326346
a_11,HPE,326347,334758
a_11,CPE,334759,335302
a_11,HPE,335303,337726
a_11,CPE,337727,376643
a_11,HPE,376644,376707
a_11,HVT,376708,381756
a_11,HVF,381757,382631
a_11,DVF,382632,383471
a_11,HVF,383472,383886
a_11,HPE,383887,406717
a_11,CPE,406718,417368
a_11,HPE,417369,423258
a_11,CPE,423259,423343
a_11,HPE,423344,431877
a_11,CPE,431878,431930
a_11,HPE,431931,433757
a_11,HVF,433758,439519
a_11,DVF,439520,440361
a_11,HVF,440362,454439
a_11,DVF,454440,455281
a_11,HVF,455282,462447
a_11,CVF,462448,490098
a_11,HVF,490099,500520
a_11,DVF,500521,501361
a_11,HVF,501362,509886
a_11,DVF,509887,510731
a_11,HVF,510732,518419
a_11,DVF,518420,519261
a_11,HVF,519262,521556
a_11,CVF,521557,551432
a_11,HVF,551433,562736
a_11,DVF,562737,563576
a_11,HVF,563577,564254
a_11,HPE,564255,565987
a_11,HVF,565988,568427
a_11,DVF,568428,569251
a_11,HVF,569252,574901
a_11,DVF,574902,575741
a_11,HVF,575742,576851
a_11,CVF,576852,607824
a_11,HVF,607825,616094
a_11,DVF,616095,616936
a_11,HVF,616937,621826
a_11,DVF,621827,622666
a_11,HVF,622667,634567
a_11,DVF,634568,635411
a_11,HVF,635412,638521
a_11,CVF,638522,666370
a_11,HVF,666371,679004
a_11,DVF,679005,679846
a_11,HVF,679847,683602
a_11,DVF,683603,684441
a_11,HVF,684442,688435
a_11,DVF,688436,689276
a_11,HVF,689277,692640
a_11,CVF,692641,696506
a_11,HVF,696507,731257
a_11,DVF,731258,732096
a_11,HVF,732097,732798
a_11,HPE,732799,739384
a_11,HVF,739385,742529
a_11,CVF,742530,774249
a_11,HVF,774250,784126
a_11,DVF,784127,784966
a_11,HVF,784967,785537
a_11,HPE,785538,790088
a_11,CPE,790089,790118
a_11,HPE,790119,794152
a_11,CPE,794153,801958
a_11,HPE,801959,802214
a_11,HVF,802215,803548
a_11,CVF,803549,838271
a_11,HVF,838272,847086
a_11,DVF,847087,847911
a_11,HVF,847912,848674
a_11,HPE,848675,869441
a_11,HVF,869442,877512
a_11,CVF,877513,885212
a_11,HVF,885213,911978
a_11,CVF,911979,912345
a_11,HVF,912346,917025
a_11,DVF,917026,917846
a_11,HVF,917847,918461
a_11,HPE,918462,929778
a_11,CPE,929779,1020617
a_11,HPE,1020618,1037313
a_11,CPE,1037314,1131935
a_11,HPE,1131936,1131965
a_11,HVF,1131966,1138676
a_11,DVF,1138677,1139516
a_11,HVF,1139517,1139928
a_11,HAS,1139929,1241460
a_11,has,1241461,1300143
a_11,cas,1300144,1300304
a_11,has,1300305,1318610
a_11,cas,1318611,1318821
a_11,has,1318822,1390000
a_12,hun,1,195
a_12,HVF,196,31615
a_12,CVF,31616,41238
a_12,HVF,41239,56019
a_12,CVF,56020,74502
a_12,HVF,74503,77024
a_12,CVF,77025,78986
a_12,HVF,78987,99120
a_12,CVF,99121,100973
a_12,HVF,100974,105229
a_12,DVF,105230,106069
a_12,HVF,106070,109243
a_12,HPE,109244,129354
a_12,CPE,129355,156012
a_12,HPE,156013,164936
a_12,CPE,164937,182504
a_12,HPE,182505,189630
a_12,CPE,189631,225972
a_12,HPE,225973,228248
a_12,CPE,228249,249272
a_12,HPE,249273,263997
a_12,HVF,263998,268461
a_12,DVF,268462,269304
a_12,HVF,269305,269772
a_12,HPE,269773,273774
a_12,HPR,273775,288571
a_12,HPE,288572,292216
a_12,CPE,292217,293572
a_12,HPE,293573,296270
a_12,CPE,296271,322640
a_12,HPE,322641,332115
a_12,HVF,332116,336161
a_12,DVF,336162,336984
a_12,HVF,336985,340374
a_12,DVF,340375,341214
a_12,HVF,341215,341532
a_12,HPE,341533,344022
a_12,HVF,344023,346402
a_12,DVF,346403,347244
a_12,HVF,347245,347576
a_12,HPE,347577,358352
a_12,CPE,358353,362041
a_12,CVF,362042,382692
a_12,HVF,382693,385610
a_12,DVF,385611,386454
a_12,HVF,386455,389233
a_12,DVF,389234,390054
a_12,HVF,390055,390327
a_12,HPE,390328,391534
a_12,HAS,391535,391709
a_12,CAS,391710,391951
a_12,HAS,391952,394303
a_12,CAS,394304,400089
a_12,CVF,400090,434254
a_12,HVF,434255,436120
a_12,CVF,436121,460697
a_12,HVF,460698,465431
a_12,DVF,465432,466274
a_12,HVF,466275,469334
a_12,DVF,469335,470174
a_12,HVF,470175,470403
a_12,HAS,470404,475423
a_12,CAS,475424,478933
a_12,CVF,478934,567326
a_12,HVF,567327,573278
a_12,DVF,573279,574119
a_12,HVF,574120,574458
a_12,HAS,574459,575070
a_12,HVF,575071,576896
a_12,DVF,576897,577739
a_12,HVF,577740,580664
a_12,DVF,580665,581484
a_12,HVF,581485,581677
a_12,CVF,581678,581729
a_12,CAS,581730,581739
a_12,HAS,581740,583880
a_12,CAS,583881,625312
a_12,CVF,625313,680320
a_12,HVF,680321,687973
a_12,DVF,687974,688814
a_12,HVF,688815,691811
a_12,DVF,691812,692634
a_12,HVF,692635,692804
a_12,HAS,692805,694039
a_12,HVF,694040,698414
a_12,DVF,698415,699254
a_12,HVF,699255,699484
a_12,HAS,699485,700209
a_12,HVF,700210,702669
a_12,CVF,702670,732758
a_12,HVF,732759,739361
a_12,DVF,739362,740204
a_12,HVF,740205,740434
a_12,HAS,740435,743868
a_12,HVF,743869,749073
a_12,DVF,749074,749914
a_12,HVF,749915,753776
a_12,DVF,753777,754619
a_12,HVF,754620,754861
a_12,HAS,754862,759062
a_12,CAS,759063,824277
a_12,CVF,824278,824446
a_12,HVF,824447,830608
a_12,DVF,830609,831429
a_12,HVF,831430,832521
a_12,HPE,832522,856299
a_12,CPE,856300,905622
a_12,CVF,905623,948595
a_12,HVF,948596,954347
a_12,DVF,954348,955189
a_12,HVF,955190,957875
a_12,DVF,957876,958719
a_12,HVF,958720,959063
a_12,HPE,959064,965308
a_12,CPE,965309,972266
a_12,CVF,972267,1059121
a_12,HVF,1059122,1063739
a_12,DVF,1063740,1064579
a_12,HVF,1064580,1066872
a_12,DVF,1066873,1067714
a_12,HVF,1067715,1067948
a_12,HAS,1067949,1089349
a_12,HVF,1089350,1139221
a_12,DVF,1139222,1140064
a_12,HVF,1140065,1140251
a_12,HAS,1140252,1335274
a_12,HVF,1335275,1390000
a_13,hun,1,76
a_13,HVF,77,627
a_13,CVF,628,4540
a_13,HVF,4541,6474
a_13,CVF,6475,10449
a_13,HVF,10450,12695
a_13,CVF,12696,16657
a_13,HVF,16658,18924
a_13,CVF,18925,22896
a_13,HVF,22897,25168
a_13,CVF,25169,29118
a_13,HVF,29119,31104
a_13,CVF,31105,34966
a_13,HVF,34967,36699
a_13,CVF,36700,40570
a_13,HVF,40571,42384
a_13,CVF,42385,52149
a_13,HVF,52150,54604
a_13,CVF,54605,58508
a_13,HVF,58509,60723
a_13,CVF,60724,64608
a_13,HVF,64609,68886
a_13,CVF,68887,72698
a_13,HVF,72699,82351
a_13,DVF,82352,83191
a_13,HVF,83192,83745
a_13,HAS,83746,91465
a_13,CAS,91466,92199
a_13,HAS,92200,92278
a_13,HVF,92279,128548
a_13,CVF,128549,144428
a_13,HVF,144429,146471
a_13,CVF,146472,149995
a_13,HVF,149996,152198
a_13,CVF,152199,159572
a_13,HVF,159573,189312
a_13,CVF,189313,194786
a_13,HVF,194787,197327
a_13,CVF,197328,201312
a_13,HVF,201313,205816
a_13,CVF,205817,209312
a_13,HVF,209313,213012
a_13,CVF,213013,216382
a_13,HVF,216383,244175
a_13,CVF,244176,247624
a_13,HVF,247625,251915
a_13,CVF,251916,255280
a_13,HVF,255281,258489
a_13,CVF,258490,262001
a_13,HVF,262002,264160
a_13,CVF,264161,267892
a_13,HVF,267893,270286
a_13,CVF,270287,273960
a_13,HVF,273961,276322
a_13,CVF,276323,279914
a_13,HVF,279915,283510
a_13,CVF,283511,287135
a_13,HVF,287136,290067
a_13,CVF,290068,293058
a_13,HVF,293059,323433
a_13,CVF,323434,327007
a_13,HVF,327008,329992
a_13,CVF,329993,333395
a_13,HVF,333396,335698
a_13,CVF,335699,339249
a_13,HVF,339250,341280
a_13,CVF,341281,344835
a_13,HVF,344836,352742
a_13,CVF,352743,359159
a_13,HVF,359160,371231
a_13,HVT,371232,388792
a_13,CVT,388793,392235
a_13,HVT,392236,394986
a_13,CVT,394987,397892
a_13,HVT,397893,402647
a_13,HPE,402648,405101
a_13,CPE,405102,423987
a_13,CVF,423988,424749
a_13,HVF,424750,434351
a_13,DVF,434352,435171
a_13,HVF,435172,435509
a_13,HPE,435510,443249
a_13,CPE,443250,444984
a_13,CVF,444985,486293
a_13,HVF,486294,488276
