files,EPI,SMP_start,SMP_stop,EPI_1,SMP_start_1,SMP_stop_1,EPI_2,SMP_start_2,SMP_stop_2
S_1,CVF,205163,209409,VF,209410,211868,CVF,211869,216519
S_1,VF,209410,211868,CVF,211869,216519,VF,216520,224252
S_1,CVF,211869,216519,VF,216520,224252,dfb,224253,225092
S_1,VF,216520,224252,dfb,224253,225092,VF,225093,225845
S_1,dfb,224253,225092,VF,225093,225845,AS,225846,233027
S_1,VF,225093,225845,AS,225846,233027,CAS,233028,236941
S_1,AS,225846,233027,CAS,233028,236941,AS,236942,238534
S_1,CAS,233028,236941,AS,236942,238534,CAS,238535,242561
S_1,AS,236942,238534,CAS,238535,242561,AS,242562,244264
S_1,CAS,238535,242561,AS,242562,244264,CAS,244265,248311
S_1,AS,242562,244264,CAS,244265,248311,AS,248312,250077
S_1,CAS,244265,248311,AS,248312,250077,CAS,250078,252960
S_1,AS,248312,250077,CAS,250078,252960,CVF,252961,254125
S_1,CAS,250078,252960,CVF,252961,254125,VF,254126,255912
S_1,CVF,252961,254125,VF,254126,255912,CVF,255913,259887
S_1,VF,254126,255912,CVF,255913,259887,VF,259888,261455
S_1,CVF,255913,259887,VF,259888,261455,CVF,261456,265520
S_1,VF,259888,261455,CVF,261456,265520,VF,265521,267221
S_1,CVF,261456,265520,VF,265521,267221,CVF,267222,271255
S_1,VF,265521,267221,CVF,267222,271255,VF,271256,273017
S_1,CVF,267222,271255,VF,271256,273017,CVF,273018,277083
S_1,VF,271256,273017,CVF,273018,277083,VF,277084,278966
S_1,CVF,273018,277083,VF,277084,278966,CVF,278967,282790
S_1,VF,277084,278966,CVF,278967,282790,VF,282791,284922
S_1,CVF,278967,282790,VF,282791,284922,CVF,284923,288684
S_1,VF,282791,284922,CVF,284923,288684,VF,288685,290422
S_1,CVF,284923,288684,VF,288685,290422,CVF,290423,294295
S_1,VF,288685,290422,CVF,290423,294295,VF,294296,296186
S_1,CVF,290423,294295,VF,294296,296186,CVF,296187,299989
S_1,VF,294296,296186,CVF,296187,299989,VF,299990,301904
S_1,CVF,296187,299989,VF,299990,301904,CVF,301905,305769
S_1,VF,299990,301904,CVF,301905,305769,VF,305770,307882
S_1,CVF,301905,305769,VF,305770,307882,CVF,307883,311662
S_1,VF,305770,307882,CVF,307883,311662,VF,311663,324771
S_1,CVF,307883,311662,VF,311663,324771,dfb,324772,325612
S_1,VF,311663,324771,dfb,324772,325612,VF,325613,326260
S_1,dfb,324772,325612,VF,325613,326260,AS,326261,336096
S_1,VF,325613,326260,AS,326261,336096,CAS,336097,339690
S_1,AS,326261,336096,CAS,336097,339690,AS,339691,344460
S_1,CAS,336097,339690,AS,339691,344460,CAS,344461,347674
S_1,AS,339691,344460,CAS,344461,347674,AS,347675,352649
S_1,CAS,344461,347674,AS,347675,352649,CAS,352650,356978
S_1,AS,347675,352649,CAS,352650,356978,AS,356979,366459
S_1,CAS,352650,356978,AS,356979,366459,CAS,366460,368564
S_1,AS,356979,366459,CAS,366460,368564,AS,368565,372500
S_1,CAS,366460,368564,AS,368565,372500,un,1,34010
S_1,AS,368565,372500,un,1,34010,VF,34011,34327
a_2,un,1,34010,VF,34011,34327,CVF,34328,38658
a_2,VF,34011,34327,CVF,34328,38658,VF,38659,42480
a_2,CVF,34328,38658,VF,38659,42480,CVF,42481,43900
a_2,VF,38659,42480,CVF,42481,43900,VF,43901,48759
a_2,CVF,42481,43900,VF,43901,48759,CVF,48760,50158
a_2,VF,43901,48759,CVF,48760,50158,VF,50159,55029
a_2,CVF,48760,50158,VF,50159,55029,CVF,55030,58509
a_2,VF,50159,55029,CVF,55030,58509,VF,58510,60890
a_2,CVF,55030,58509,VF,58510,60890,CVF,60891,64206
a_2,VF,58510,60890,CVF,60891,64206,VF,64207,66631
a_2,CVF,60891,64206,VF,64207,66631,CVF,66632,69815
a_2,VF,64207,66631,CVF,66632,69815,VF,69816,77680
a_2,CVF,66632,69815,VF,69816,77680,CVF,77681,81102
a_2,VF,69816,77680,CVF,77681,81102,VF,81103,88484
a_2,CVF,77681,81102,VF,81103,88484,dfb,88485,89325
a_2,VF,81103,88484,dfb,88485,89325,VF,89326,89909
a_2,dfb,88485,89325,VF,89326,89909,PE,89910,93133
a_2,VF,89326,89909,PE,89910,93133,CPE,93134,99688
a_2,PE,89910,93133,CPE,93134,99688,PE,99689,120737
a_2,CPE,93134,99688,PE,99689,120737,CPE,120738,121389
a_2,PE,99689,120737,CPE,120738,121389,PE,121390,128375
a_2,CPE,120738,121389,PE,121390,128375,CPE,128376,137025
a_2,PE,121390,128375,CPE,128376,137025,PE,137026,139830
a_2,CPE,128376,137025,PE,137026,139830,CPE,139831,146124
a_2,PE,137026,139830,CPE,139831,146124,PE,146125,155108
a_2,CPE,139831,146124,PE,146125,155108,CPE,155109,162112
a_2,PE,146125,155108,CPE,155109,162112,PE,162113,163860
a_2,CPE,155109,162112,PE,162113,163860,CPE,163861,167475
a_2,PE,162113,163860,CPE,163861,167475,PE,167476,169996
a_2,CPE,163861,167475,PE,167476,169996,CPE,169997,184800
a_2,PE,167476,169996,CPE,169997,184800,CVF,184801,184873
a_2,CPE,169997,184800,CVF,184801,184873,VF,184874,187811
a_2,CVF,184801,184873,VF,184874,187811,CVF,187812,191391
a_2,VF,184874,187811,CVF,187812,191391,VF,191392,193685
a_2,CVF,187812,191391,VF,191392,193685,CVF,193686,196406
a_2,VF,191392,193685,CVF,193686,196406,VF,196407,197944
a_2,CVF,193686,196406,VF,196407,197944,CVF,197945,198650
a_2,VF,196407,197944,CVF,197945,198650,VF,198651,203654
a_2,CVF,197945,198650,VF,198651,203654,CVF,203655,209127
a_2,VF,198651,203654,CVF,203655,209127,VF,209128,211118
a_2,CVF,203655,209127,VF,209128,211118,CVF,211119,211617
a_2,VF,209128,211118,CVF,211119,211617,VF,211618,213174
a_2,CVF,211119,211617,VF,211618,213174,CVF,213175,216308
a_2,VF,211618,213174,CVF,213175,216308,VF,216309,218709
a_2,CVF,213175,216308,VF,216309,218709,CVF,218710,227703
a_2,VF,216309,218709,CVF,218710,227703,VF,227704,229511
a_2,CVF,218710,227703,VF,227704,229511,CVF,229512,235361
a_2,VF,227704,229511,CVF,229512,235361,VF,235362,238078
a_2,CVF,229512,235361,VF,235362,238078,CVF,238079,244922
a_2,VF,235362,238078,CVF,238079,244922,VF,244923,244952
a_2,CVF,238079,244922,VF,244923,244952,VT,244953,250423
a_2,VF,244923,244952,VT,244953,250423,CVT,250424,251507
a_2,VT,244953,250423,CVT,250424,251507,VT,251508,255818
a_2,CVT,250424,251507,VT,251508,255818,dfb,255819,256660
a_2,VT,251508,255818,dfb,255819,256660,VT,256661,258639
a_2,dfb,255819,256660,VT,256661,258639,AS,258640,259809
a_2,VT,256661,258639,AS,258640,259809,CAS,259810,269811
a_2,AS,258640,259809,CAS,259810,269811,CPE,269812,280507
a_2,CAS,259810,269811,CPE,269812,280507,PE,280508,282024
a_2,CPE,269812,280507,PE,280508,282024,CPE,282025,292085
a_2,PE,280508,282024,CPE,282025,292085,PE,292086,293677
a_2,CPE,282025,292085,PE,292086,293677,CPE,293678,297068
a_2,PE,292086,293677,CPE,293678,297068,PE,297069,299461
a_2,CPE,293678,297068,PE,297069,299461,CPE,299462,344263
a_2,PE,297069,299461,CPE,299462,344263,CVF,344264,367434
a_2,CPE,299462,344263,CVF,344264,367434,VF,367435,370876
a_2,CVF,344264,367434,VF,367435,370876,CVF,370877,422638
a_2,VF,367435,370876,CVF,370877,422638,VF,422639,428891
a_2,CVF,370877,422638,VF,422639,428891,dfb,428892,429735
a_2,VF,422639,428891,dfb,428892,429735,VF,429736,430614
a_2,dfb,428892,429735,VF,429736,430614,PE,430615,433345
a_2,VF,429736,430614,PE,430615,433345,CPE,433346,435740
a_2,PE,430615,433345,CPE,433346,435740,PE,435741,441485
a_2,CPE,433346,435740,PE,435741,441485,CPE,441486,457312
a_2,PE,435741,441485,CPE,441486,457312,PE,457313,466699
a_2,CPE,441486,457312,PE,457313,466699,VT,466700,470691
a_2,PE,457313,466699,VT,466700,470691,CVT,470692,486294
a_2,VT,466700,470691,CVT,470692,486294,CVF,486295,534001
a_2,CVT,470692,486294,CVF,486295,534001,VF,534002,538568
a_2,CVF,486295,534001,VF,534002,538568,dfb,538569,539410
a_2,VF,534002,538568,dfb,538569,539410,VF,539411,539950
a_2,dfb,538569,539410,VF,539411,539950,PE,539951,555393
a_2,VF,539411,539950,PE,539951,555393,CPE,555394,635571
a_2,PE,539951,555393,CPE,555394,635571,PE,635572,757866
a_2,CPE,555394,635571,PE,635572,757866,CPE,757867,826802
a_2,PE,635572,757866,CPE,757867,826802,PE,826803,829500
a_2,CPE,757867,826802,PE,826803,829500,PR,829501,936774
a_2,PE,826803,829500,PR,829501,936774,CPR,936775,946608
a_2,PR,829501,936774,CPR,936775,946608,PR,946609,958049
a_2,CPR,936775,946608,PR,946609,958049,CPR,958050,1003776
a_2,PR,946609,958049,CPR,958050,1003776,PR,1003777,1090154
a_2,CPR,958050,1003776,PR,1003777,1090154,CPR,1090155,1114461
a_2,PR,1003777,1090154,CPR,1090155,1114461,PR,1114462,1121524
a_2,CPR,1090155,1114461,PR,1114462,1121524,PE,1121525,1141336
a_2,PR,1114462,1121524,PE,1121525,1141336,VT,1141337,1148379
a_2,PE,1121525,1141336,VT,1141337,1148379,VF,1148380,1190708
a_2,VT,1141337,1148379,VF,1148380,1190708,dfb,1190709,1191550
a_2,VF,1148380,1190708,dfb,1190709,1191550,VF,1191551,1191956
a_2,dfb,1190709,1191550,VF,1191551,1191956,AS,1191957,1195000
a_2,VF,1191551,1191956,AS,1191957,1195000,PE,1,5075
a_2,AS,1191957,1195000,PE,1,5075,CPE,5076,8536
a_3,PE,1,5075,CPE,5076,8536,PE,8537,25226
a_3,CPE,5076,8536,PE,8537,25226,CPE,25227,28783
a_3,PE,8537,25226,CPE,25227,28783,PE,28784,51524
a_3,CPE,25227,28783,PE,28784,51524,CPE,51525,72528
a_3,PE,28784,51524,CPE,51525,72528,PE,72529,98721
a_3,CPE,51525,72528,PE,72529,98721,CPE,98722,99416
a_3,PE,72529,98721,CPE,98722,99416,PE,99417,103716
a_3,CPE,98722,99416,PE,99417,103716,PR,103717,110767
a_3,PE,99417,103716,PR,103717,110767,CPR,110768,143546
a_3,PR,103717,110767,CPR,110768,143546,PR,143547,146341
a_3,CPR,110768,143546,PR,143547,146341,CPR,146342,149889
a_3,PR,143547,146341,CPR,146342,149889,PR,149890,152824
a_3,CPR,146342,149889,PR,149890,152824,dfb,152825,153665
a_3,PR,149890,152824,dfb,152825,153665,PR,153666,825409
a_3,dfb,152825,153665,PR,153666,825409,pr,825410,937500
a_3,PR,153666,825409,pr,825410,937500,un,1,134
a_3,pr,825410,937500,un,1,134,cun,135,6161
a_4,un,1,134,cun,135,6161,un,6162,7510
a_4,cun,135,6161,un,6162,7510,PE,7511,15639
a_4,un,6162,7510,PE,7511,15639,CPE,15640,117078
a_4,PE,7511,15639,CPE,15640,117078,PE,117079,123127
a_4,CPE,15640,117078,PE,117079,123127,CPE,123128,273464
a_4,PE,117079,123127,CPE,123128,273464,PE,273465,275301
a_4,CPE,123128,273464,PE,273465,275301,CPE,275302,322492
a_4,PE,273465,275301,CPE,275302,322492,PE,322493,329689
a_4,CPE,275302,322492,PE,322493,329689,CPE,329690,388898
a_4,PE,322493,329689,CPE,329690,388898,PE,388899,390501
a_4,CPE,329690,388898,PE,388899,390501,CPE,390502,415254
a_4,PE,388899,390501,CPE,390502,415254,PE,415255,427431
a_4,CPE,390502,415254,PE,415255,427431,CPE,427432,463529
a_4,PE,415255,427431,CPE,427432,463529,PE,463530,482233
a_4,CPE,427432,463529,PE,463530,482233,CPE,482234,551222
a_4,PE,463530,482233,CPE,482234,551222,PE,551223,687795
a_4,CPE,482234,551222,PE,551223,687795,CPE,687796,705504
a_4,PE,551223,687795,CPE,687796,705504,PE,705505,711067
a_4,CPE,687796,705504,PE,705505,711067,CPE,711068,734228
a_4,PE,705505,711067,CPE,711068,734228,PE,734229,742399
a_4,CPE,711068,734228,PE,734229,742399,CPE,742400,751167
a_4,PE,734229,742399,CPE,742400,751167,PE,751168,753225
a_4,CPE,742400,751167,PE,751168,753225,CPE,753226,830237
a_4,PE,751168,753225,CPE,753226,830237,PE,830238,868873
a_4,CPE,753226,830237,PE,830238,868873,PR,868874,930158
a_4,PE,830238,868873,PR,868874,930158,PE,930159,932709
a_4,PR,868874,930158,PE,930159,932709,CPE,932710,960508
a_4,PE,930159,932709,CPE,932710,960508,PE,960509,966217
a_4,CPE,932710,960508,PE,960509,966217,CPE,966218,967047
a_4,PE,960509,966217,CPE,966218,967047,PE,967048,997065
a_4,CPE,966218,967047,PE,967048,997065,CPE,997066,1038466
a_4,PE,967048,997065,CPE,997066,1038466,PE,1038467,1055295
a_4,CPE,997066,1038466,PE,1038467,1055295,dfb,1055296,1056118
a_4,PE,1038467,1055295,dfb,1055296,1056118,PE,1056119,1061679
a_4,dfb,1055296,1056118,PE,1056119,1061679,dfb,1061680,1062518
a_4,PE,1056119,1061679,dfb,1061680,1062518,PE,1062519,1068195
a_4,dfb,1061680,1062518,PE,1062519,1068195,dfb,1068196,1069018
a_4,PE,1062519,1068195,dfb,1068196,1069018,PE,1069019,1071071
a_4,dfb,1068196,1069018,PE,1069019,1071071,CPE,1071072,1089476
a_4,PE,1069019,1071071,CPE,1071072,1089476,PE,1089477,1091016
a_4,CPE,1071072,1089476,PE,1089477,1091016,CPE,1091017,1098284
a_4,PE,1089477,1091016,CPE,1091017,1098284,PE,1098285,1100332
a_4,CPE,1091017,1098284,PE,1098285,1100332,CPE,1100333,1100780
a_4,PE,1098285,1100332,CPE,1100333,1100780,PE,1100781,1329157
a_4,CPE,1100333,1100780,PE,1100781,1329157,pe,1329158,1477500
a_4,PE,1100781,1329157,pe,1329158,1477500,un,1,61
a_4,pe,1329158,1477500,un,1,61,PE,62,3291
a_5,un,1,61,PE,62,3291,CPE,3292,37613
a_5,PE,62,3291,CPE,3292,37613,PE,37614,42992
a_5,CPE,3292,37613,PE,37614,42992,CPE,42993,43349
a_5,PE,37614,42992,CPE,42993,43349,PE,43350,47391
a_5,CPE,42993,43349,PE,43350,47391,CPE,47392,93040
a_5,PE,43350,47391,CPE,47392,93040,PE,93041,96582
a_5,CPE,47392,93040,PE,93041,96582,CPE,96583,109113
a_5,PE,93041,96582,CPE,96583,109113,PE,109114,110808
a_5,CPE,96583,109113,PE,109114,110808,CPE,110809,113454
a_5,PE,109114,110808,CPE,110809,113454,PE,113455,124676
a_5,CPE,110809,113454,PE,113455,124676,CPE,124677,130121
a_5,PE,113455,124676,CPE,124677,130121,PE,130122,132218
a_5,CPE,124677,130121,PE,130122,132218,CPE,132219,134516
a_5,PE,130122,132218,CPE,132219,134516,PE,134517,138692
a_5,CPE,132219,134516,PE,134517,138692,CPE,138693,139473
a_5,PE,134517,138692,CPE,138693,139473,PE,139474,141518
a_5,CPE,138693,139473,PE,139474,141518,CPE,141519,226182
a_5,PE,139474,141518,CPE,141519,226182,PE,226183,233405
a_5,CPE,141519,226182,PE,226183,233405,CPE,233406,250121
a_5,PE,226183,233405,CPE,233406,250121,PE,250122,254837
a_5,CPE,233406,250121,PE,250122,254837,CPE,254838,269834
a_5,PE,250122,254837,CPE,254838,269834,PE,269835,275447
a_5,CPE,254838,269834,PE,269835,275447,CPE,275448,291287
a_5,PE,269835,275447,CPE,275448,291287,PE,291288,297108
a_5,CPE,275448,291287,PE,291288,297108,CPE,297109,319116
a_5,PE,291288,297108,CPE,297109,319116,PE,319117,328524
a_5,CPE,297109,319116,PE,319117,328524,dfb,328525,329368
a_5,PE,319117,328524,dfb,328525,329368,PE,329369,338971
a_5,dfb,328525,329368,PE,329369,338971,dfb,338972,339813
a_5,PE,329369,338971,dfb,338972,339813,PE,339814,343999
a_5,dfb,338972,339813,PE,339814,343999,dfb,344000,344818
a_5,PE,339814,343999,dfb,344000,344818,PE,344819,347078
a_5,dfb,344000,344818,PE,344819,347078,CPE,347079,409605
a_5,PE,344819,347078,CPE,347079,409605,PE,409606,410734
a_5,CPE,347079,409605,PE,409606,410734,PR,410735,417456
a_5,PE,409606,410734,PR,410735,417456,dfb,417457,418278
a_5,PR,410735,417456,dfb,417457,418278,PR,418279,421000
a_5,dfb,417457,418278,PR,418279,421000,dfb,421001,421823
a_5,PR,418279,421000,dfb,421001,421823,PR,421824,543283
a_5,dfb,421001,421823,PR,421824,543283,CPR,543284,544678
a_5,PR,421824,543283,CPR,543284,544678,PR,544679,546267
a_5,CPR,543284,544678,PR,544679,546267,PE,546268,551925
a_5,PR,544679,546267,PE,546268,551925,dfb,551926,552768
a_5,PE,546268,551925,dfb,551926,552768,PE,552769,558667
a_5,dfb,551926,552768,PE,552769,558667,dfb,558668,559508
a_5,PE,552769,558667,dfb,558668,559508,PE,559509,561993
a_5,dfb,558668,559508,PE,559509,561993,PR,561994,567052
a_5,PE,559509,561993,PR,561994,567052,CPR,567053,688095
a_5,PR,561994,567052,CPR,567053,688095,PR,688096,723888
a_5,CPR,567053,688095,PR,688096,723888,dfb,723889,724708
a_5,PR,688096,723888,dfb,723889,724708,PR,724709,727430
a_5,dfb,723889,724708,PR,724709,727430,PE,727431,730970
a_5,PR,724709,727430,PE,727431,730970,dfb,730971,731793
a_5,PE,727431,730970,dfb,730971,731793,PE,731794,737588
a_5,dfb,730971,731793,PE,731794,737588,dfb,737589,738428
a_5,PE,731794,737588,dfb,737589,738428,PE,738429,742875
a_5,dfb,737589,738428,PE,738429,742875,CPE,742876,790881
a_5,PE,738429,742875,CPE,742876,790881,PE,790882,792423
a_5,CPE,742876,790881,PE,790882,792423,CPE,792424,827849
a_5,PE,790882,792423,CPE,792424,827849,PE,827850,830337
a_5,CPE,792424,827849,PE,827850,830337,pe,830338,841794
a_5,PE,827850,830337,pe,830338,841794,cpe,841795,847559
a_5,pe,830338,841794,cpe,841795,847559,pe,847560,850535
a_5,cpe,841795,847559,pe,847560,850535,cpe,850536,853278
a_5,pe,847560,850535,cpe,850536,853278,CPE,853279,880360
a_5,cpe,850536,853278,CPE,853279,880360,PE,880361,895496
a_5,CPE,853279,880360,PE,880361,895496,dfb,895497,896318
a_5,PE,880361,895496,dfb,895497,896318,PE,896319,904052
a_5,dfb,895497,896318,PE,896319,904052,AS,904053,906357
a_5,PE,896319,904052,AS,904053,906357,dfb,906358,907198
a_5,AS,904053,906357,dfb,906358,907198,AS,907199,914135
a_5,dfb,906358,907198,AS,907199,914135,CAS,914136,919594
a_5,AS,907199,914135,CAS,914136,919594,AS,919595,933966
a_5,CAS,914136,919594,AS,919595,933966,PE,933967,950544
a_5,AS,919595,933966,PE,933967,950544,CPE,950545,960301
a_5,PE,933967,950544,CPE,950545,960301,PE,960302,967525
a_5,CPE,950545,960301,PE,960302,967525,CPE,967526,975791
a_5,PE,960302,967525,CPE,967526,975791,PE,975792,979165
a_5,CPE,967526,975791,PE,975792,979165,CPE,979166,1037775
a_5,PE,975792,979165,CPE,979166,1037775,PE,1037776,1053633
a_5,CPE,979166,1037775,PE,1037776,1053633,CPE,1053634,1054023
a_5,PE,1037776,1053633,CPE,1053634,1054023,PE,1054024,1056176
a_5,CPE,1053634,1054023,PE,1054024,1056176,PR,1056177,1087616
a_5,PE,1054024,1056176,PR,1056177,1087616,PE,1087617,1089810
a_5,PR,1056177,1087616,PE,1087617,1089810,CPE,1089811,1100811
a_5,PE,1087617,1089810,CPE,1089811,1100811,PE,1100812,1102591
a_5,CPE,1089811,1100811,PE,1100812,1102591,CPE,1102592,1128064
a_5,PE,1100812,1102591,CPE,1102592,1128064,PE,1128065,1131702
a_5,CPE,1102592,1128064,PE,1128065,1131702,CPE,1131703,1182838
a_5,PE,1128065,1131702,CPE,1131703,1182838,PE,1182839,1184374
a_5,CPE,1131703,1182838,PE,1182839,1184374,PR,1184375,1191247
a_5,PE,1182839,1184374,PR,1184375,1191247,CPR,1191248,1299249
a_5,PR,1184375,1191247,CPR,1191248,1299249,PR,1299250,1300889
a_5,CPR,1191248,1299249,PR,1299250,1300889,CPR,1300890,1304583
a_5,PR,1299250,1300889,CPR,1300890,1304583,PR,1304584,1306144
a_5,CPR,1300890,1304583,PR,1304584,1306144,CPR,1306145,1323805
a_5,PR,1304584,1306144,CPR,1306145,1323805,PR,1323806,1329534
a_5,CPR,1306145,1323805,PR,1323806,1329534,CPR,1329535,1357690
a_5,PR,1323806,1329534,CPR,1329535,1357690,PR,1357691,1360467
a_5,CPR,1329535,1357690,PR,1357691,1360467,CPR,1360468,1362123
a_5,PR,1357691,1360467,CPR,1360468,1362123,PR,1362124,1366805
a_5,CPR,1360468,1362123,PR,1362124,1366805,CPR,1366806,1386268
a_5,PR,1362124,1366805,CPR,1366806,1386268,PR,1386269,1389761
a_5,CPR,1366806,1386268,PR,1386269,1389761,CPR,1389762,1393058
a_5,PR,1386269,1389761,CPR,1389762,1393058,PR,1393059,1400945
a_5,CPR,1389762,1393058,PR,1393059,1400945,CPR,1400946,1411210
a_5,PR,1393059,1400945,CPR,1400946,1411210,PR,1411211,1411475
a_5,CPR,1400946,1411210,PR,1411211,1411475,PE,1411476,1414654
a_5,PR,1411211,1411475,PE,1411476,1414654,CPE,1414655,1457508
a_5,PE,1411476,1414654,CPE,1414655,1457508,PE,1457509,1517500
a_5,CPE,1414655,1457508,PE,1457509,1517500,un,1,132
a_5,PE,1457509,1517500,un,1,132,VF,133,5408
a_6,un,1,132,VF,133,5408,CVF,5409,23877
a_6,VF,133,5408,CVF,5409,23877,VF,23878,28473
a_6,CVF,5409,23877,VF,23878,28473,CVF,28474,46539
a_6,VF,23878,28473,CVF,28474,46539,VF,46540,76750
a_6,CVF,28474,46539,VF,46540,76750,CVF,76751,90761
a_6,VF,46540,76750,CVF,76751,90761,VF,90762,94441
a_6,CVF,76751,90761,VF,90762,94441,CVF,94442,94695
a_6,VF,90762,94441,CVF,94442,94695,VF,94696,102390
a_6,CVF,94442,94695,VF,94696,102390,dfb,102391,103234
a_6,VF,94696,102390,dfb,102391,103234,VF,103235,103656
a_6,dfb,102391,103234,VF,103235,103656,AS,103657,107475
a_6,VF,103235,103656,AS,103657,107475,CAS,107476,130313
a_6,AS,103657,107475,CAS,107476,130313,AS,130314,135878
a_6,CAS,107476,130313,AS,130314,135878,CAS,135879,142529
a_6,AS,130314,135878,CAS,135879,142529,AS,142530,145256
a_6,CAS,135879,142529,AS,142530,145256,CAS,145257,167465
a_6,AS,142530,145256,CAS,145257,167465,CPE,167466,170213
a_6,CAS,145257,167465,CPE,167466,170213,PE,170214,171761
a_6,CPE,167466,170213,PE,170214,171761,CPE,171762,187155
a_6,PE,170214,171761,CPE,171762,187155,PE,187156,199854
a_6,CPE,171762,187155,PE,187156,199854,CPE,199855,216396
a_6,PE,187156,199854,CPE,199855,216396,PE,216397,217967
a_6,CPE,199855,216396,PE,216397,217967,CPE,217968,220292
a_6,PE,216397,217967,CPE,217968,220292,PE,220293,226292
a_6,CPE,217968,220292,PE,220293,226292,CPE,226293,239843
a_6,PE,220293,226292,CPE,226293,239843,PE,239844,251098
a_6,CPE,226293,239843,PE,239844,251098,CPE,251099,252769
a_6,PE,239844,251098,CPE,251099,252769,PE,252770,259710
a_6,CPE,251099,252769,PE,252770,259710,PR,259711,268480
a_6,PE,252770,259710,PR,259711,268480,CPR,268481,273994
a_6,PR,259711,268480,CPR,268481,273994,PR,273995,281899
a_6,CPR,268481,273994,PR,273995,281899,CPR,281900,288456
a_6,PR,273995,281899,CPR,281900,288456,PR,288457,307581
a_6,CPR,281900,288456,PR,288457,307581,CPR,307582,326087
a_6,PR,288457,307581,CPR,307582,326087,PR,326088,334447
a_6,CPR,307582,326087,PR,326088,334447,CPR,334448,336189
a_6,PR,326088,334447,CPR,334448,336189,PR,336190,337700
a_6,CPR,334448,336189,PR,336190,337700,CPR,337701,364281
a_6,PR,336190,337700,CPR,337701,364281,PR,364282,366512
a_6,CPR,337701,364281,PR,364282,366512,CPR,366513,372328
a_6,PR,364282,366512,CPR,366513,372328,PR,372329,376012
